Preds:	Truths:
1.5556	, 2.4100
3.9214	, 3.7084
3.5259	, 4.2878
5.1240	, 4.6769
5.3504	, 4.9842
5.4778	, 3.7443
3.8376	, 3.5175
3.5337	, 3.3993
4.0187	, 3.0452
4.5499	, 5.2087
4.5584	, 6.0754
2.9285	, 4.2442
5.4523	, 5.9009
0.9728	, 0.2012
1.7094	, 0.0784
2.0923	, 4.1706
4.0897	, 5.7109
5.8406	, 5.5089
6.8729	, 5.1292
6.1548	, 5.3688
6.0975	, 4.8669
5.3159	, 6.0637
5.2537	, 5.0457
4.8392	, 4.7037
6.4729	, 6.8288
4.4923	, 5.9844
7.1961	, 6.5337
4.8334	, 5.6924
1.8403	, 0.9060
4.2651	, 3.6288
3.8269	, 5.3958
4.5832	, 4.4320
4.9232	, 5.0219
5.3973	, 5.1954
5.1277	, 4.6530
4.9098	, 4.8041
4.6066	, 4.7323
4.1591	, 4.7134
4.3656	, 5.8374
4.5242	, 5.7302
5.4631	, 4.7031
5.2331	, 6.5469
-0.6701	, 0.0402
7.1584	, 7.2691
3.7820	, 3.5248
3.5281	, 5.0411
4.4941	, 4.8061
4.7669	, 4.9287
5.1567	, 6.0507
5.4856	, 4.5437
5.3233	, 5.2986
5.1042	, 4.2365
4.6596	, 4.8549
5.5073	, 5.5312
4.1317	, 3.6838
5.5627	, 6.1678
-2.0159	, -0.9528
-0.7325	, -0.7061
3.8758	, 3.6689
3.1692	, 4.3101
4.6826	, 4.9153
3.9152	, 4.3414
4.1164	, 5.5454
5.0770	, 4.9137
4.5141	, 4.1491
3.6054	, 1.8112
3.7437	, 2.6047
5.1588	, 5.7022
5.0384	, 4.4439
5.8857	, 5.3963
3.2374	, 4.1499
2.6205	, 2.5356
3.8948	, 3.1383
4.4457	, 4.2881
5.4299	, 4.7297
4.7777	, 4.1978
3.4910	, 3.7015
3.4232	, 3.0853
3.3117	, 3.3500
2.8193	, 1.9446
3.1971	, 5.0786
4.6268	, 5.5192
4.1455	, 3.8920
5.2909	, 4.9284
-2.3204	, -0.9863
3.8824	, 0.4255
1.0480	, 0.4448
3.9483	, 5.4397
4.2859	, 5.5385
4.4468	, 4.8554
4.5140	, 4.4478
2.7583	, 3.0754
3.1030	, 3.5616
2.4073	, 2.4715
2.5833	, 4.6073
6.6133	, 6.8097
3.6490	, 3.1233
7.9150	, 7.1547
3.7698	, -0.1001
-0.7500	, -0.0939
4.5683	, 4.3190
4.2312	, 4.6178
4.8022	, 5.4079
4.7636	, 6.1027
5.5017	, 6.1483
6.0279	, 5.2766
4.7130	, 5.3216
5.1757	, 4.9311
3.9269	, 5.0782
5.3573	, 6.3822
4.6075	, 4.5826
6.4439	, 5.0111
4.2267	, 4.5777
3.1320	, 1.5652
3.2464	, 2.6311
4.4293	, 4.7648
3.8525	, 4.6524
5.0435	, 6.0720
4.5582	, 5.6712
4.1379	, 2.6988
2.5447	, 2.4586
2.6152	, 1.7699
2.8714	, 4.6905
5.0214	, 5.6616
2.7484	, 2.5259
6.9432	, 5.9269
-1.8843	, -2.0063
2.1497	, -0.3240
0.3042	, 1.3414
3.2507	, 4.7160
5.2765	, 5.5936
4.8180	, 4.6884
5.1597	, 4.7458
3.6333	, 3.1181
2.4014	, 3.2783
2.3532	, 1.9658
2.4504	, 2.2361
3.5930	, 6.5017
4.1421	, 2.4317
6.0382	, 6.5328
-3.4207	, -1.9646
-0.3777	, -1.5459
0.3892	, 0.2639
1.7799	, 2.3395
2.0422	, 1.3763
3.0198	, 2.6995
1.9036	, 1.6803
1.1435	, 0.1349
0.8195	, 0.6474
-0.1420	, 0.3777
-0.3351	, 0.2690
4.2053	, 6.7095
4.7667	, 6.0156
4.4830	, 6.3562
4.5151	, 5.1439
-1.5570	, -1.0467
2.7572	, 1.5448
1.0130	, 0.1955
3.6223	, 4.3315
3.0613	, 4.9196
4.0401	, 4.0560
3.6373	, 2.8298
2.4715	, 1.4323
1.9723	, 1.5711
1.6847	, 0.4783
2.7015	, 4.0292
3.7376	, 6.1892
3.9228	, 2.0064
5.8497	, 5.5078
-3.3456	, -0.3019
-1.0799	, -0.0570
-2.9592	, -0.6275
3.3915	, 4.2522
3.0735	, 3.3152
3.6005	, 4.4099
4.2920	, 5.5025
4.0016	, 3.7365
3.5990	, 3.1342
2.4101	, 1.4937
1.7403	, 2.1316
5.4617	, 6.8035
3.5420	, 4.9089
5.8927	, 7.7154
2.0970	, 1.7901
-0.0963	, 0.2349
-0.0532	, 0.6877
0.1057	, 0.4334
4.3148	, 4.9829
3.6520	, 3.4305
3.4735	, 5.3676
4.2675	, 6.1891
4.5062	, 3.9145
2.8823	, 2.8934
2.2099	, 0.7570
1.8258	, 2.6813
4.2101	, 6.5387
4.0011	, 3.6445
5.9785	, 6.7503
-0.9196	, -2.2178
0.7461	, -0.2358
3.4359	, 1.9974
4.6842	, 3.3547
3.4980	, 4.8997
3.0485	, 3.5018
3.3708	, 2.0650
1.6222	, 0.5975
1.2788	, 1.7413
1.2720	, 1.1006
2.7828	, 5.2450
4.5456	, 6.0434
3.0705	, 3.5323
5.1218	, 4.5738
-2.2868	, -1.2614
3.2991	, 1.0931
-0.0899	, -0.7515
4.2785	, 4.4205
2.1981	, 3.2275
3.6473	, 3.2849
3.3269	, 3.6256
3.2289	, 2.0163
1.5091	, 0.7874
0.5251	, -0.6118
1.9473	, 2.9149
3.1673	, 5.9573
3.2920	, 1.0581
5.1442	, 6.1075
-2.6097	, -0.8462
2.8840	, 0.9937
-0.3399	, -0.9588
4.4022	, 3.2249
1.9812	, 2.8918
3.6985	, 4.3322
4.1259	, 4.0517
3.2726	, 1.8977
2.0911	, 1.0195
-0.6138	, 0.1134
2.3230	, 3.2925
4.1879	, 4.8598
2.0874	, 1.1231
4.5267	, 5.0793
-1.5748	, -1.3017
-0.6726	, -2.7034
-1.3152	, -0.9824
1.3474	, 2.2174
2.2044	, 0.7727
-0.7597	, -1.3885
4.8946	, 2.4280
2.4423	, 1.4617
0.2204	, 0.7926
0.6479	, -0.6124
2.4325	, 2.2696
4.7364	, 6.4028
2.8349	, 3.5488
6.8158	, 6.9503
-1.1252	, 0.4629
1.0398	, 0.2014
0.6915	, -0.1100
1.8960	, 2.2127
3.0517	, 3.2810
2.8928	, 3.7986
2.6130	, 5.1836
3.1629	, 4.4385
2.9955	, 3.0922
1.8790	, 1.9360
1.3106	, 1.6128
4.6663	, 3.9452
4.5744	, 5.5185
2.5876	, 2.4476
6.0137	, 5.6583
2.1057	, 0.6109
6.0376	, -1.8607
-0.4274	, 1.7463
2.3248	, 5.5703
3.4721	, 4.7898
3.2341	, 3.0916
3.4509	, 4.3415
1.6946	, 3.4099
2.3998	, 4.4519
2.6730	, 2.1232
2.4312	, 3.5641
3.1768	, 4.3407
2.1101	, 3.0840
4.5122	, 5.9756
-2.2053	, -0.4764
0.6697	, -0.3086
-0.9178	, -0.4855
3.2665	, 1.8180
4.1573	, 5.0805
3.6735	, 3.8302
5.6092	, 3.4207
4.0232	, 3.3787
2.4391	, 0.9418
3.7876	, 2.2176
2.8943	, 0.9573
4.3540	, 1.2190
7.1959	, 5.9965
2.9843	, 3.3073
5.0519	, 4.3223
0.4259	, 0.7598
-0.5396	, -0.8989
